Player,Team,Salary,Color,Player,Team
YS Chahal,Royal Challengers Bangalore,"$937,500","937,500",YS Chahal,Royal Challengers Bangalore
Abdul Samad,Sunrisers Hyderabad,"$28,600","28,600",Abdul Samad,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad,"$85,940","85,940",Abhishek Sharma,Sunrisers Hyderabad
B Kumar,Sunrisers Hyderabad,"$1,328,130","1,328,130",B Kumar,Sunrisers Hyderabad
Basil Thampi,Sunrisers Hyderabad,"$148,440","148,440",Basil Thampi,Sunrisers Hyderabad
DA Warner,Sunrisers Hyderabad,"$1,953,130","1,953,130",DA Warner,Sunrisers Hyderabad
J Suchith,Sunrisers Hyderabad,"$42,900","42,900",J Suchith,Sunrisers Hyderabad
JJ Roy,Sunrisers Hyderabad,"$214,300","214,300",JJ Roy,Sunrisers Hyderabad
JM Bairstow,Sunrisers Hyderabad,"$314,300","314,300",JM Bairstow,Sunrisers Hyderabad
JO Holder,Sunrisers Hyderabad,"$105,000","105,000",JO Holder,Sunrisers Hyderabad
KK Ahmed,Sunrisers Hyderabad,"$468,750","468,750",KK Ahmed,Sunrisers Hyderabad
KM Jadhav,Sunrisers Hyderabad,"$285,700","285,700",KM Jadhav,Sunrisers Hyderabad
KS Williamson,Sunrisers Hyderabad,"$468,750","468,750",KS Williamson,Sunrisers Hyderabad
MK Pandey,Sunrisers Hyderabad,"$1,718,750","1,718,750",MK Pandey,Sunrisers Hyderabad
Mohammad Nabi,Sunrisers Hyderabad,"$156,250","156,250",Mohammad Nabi,Sunrisers Hyderabad
MR Marsh,Sunrisers Hyderabad,"$285,700","285,700",MR Marsh,Sunrisers Hyderabad
Mujeeb Ur Rahman,Sunrisers Hyderabad,"$625,000","625,000",Mujeeb Ur Rahman,Sunrisers Hyderabad
PK Garg,Sunrisers Hyderabad,"$271,400","271,400",PK Garg,Sunrisers Hyderabad
Rashid Khan,Sunrisers Hyderabad,"$1,406,250","1,406,250",Rashid Khan,Sunrisers Hyderabad
S Kaul,Sunrisers Hyderabad,"$593,750","593,750",S Kaul,Sunrisers Hyderabad
S Nadeem,Sunrisers Hyderabad,"$500,000","500,000",S Nadeem,Sunrisers Hyderabad
Sandeep Sharma,Sunrisers Hyderabad,"$468,750","468,750",Sandeep Sharma,Sunrisers Hyderabad
SE Rutherford,Sunrisers Hyderabad,"$290,000","290,000",SE Rutherford,Sunrisers Hyderabad
SP Goswami,Sunrisers Hyderabad,"$156,250","156,250",SP Goswami,Sunrisers Hyderabad
T Natarajan,Sunrisers Hyderabad,"$62,500","62,500",T Natarajan,Sunrisers Hyderabad
V Shankar,Sunrisers Hyderabad,"$500,000","500,000",V Shankar,Sunrisers Hyderabad
Virat Singh,Sunrisers Hyderabad,"$271,400","271,400",Virat Singh,Sunrisers Hyderabad
WP Saha,Sunrisers Hyderabad,"$171,400","171,400",WP Saha,Sunrisers Hyderabad
